.63,9.48
4.19,0.01,10.13
3.92,-0.22,10.43
3.95,-0.15,9.81
4.41,0.40,10.94
4.62,0.25,10.96
4.49,0.48,9.85
4.41,0.12,9.63
4.63,0.59,9.27
4.05,0.49,8.25
3.57,0.32,8.50
3.60,0.56,8.06
2.76,-0.06,7.45
2.51,0.00,8.27
2.21,-0.45,8.23
2.22,0.00,9.88
2.16,-0.53,9.30
2.00,-0.13,9.23
2.36,-0.31,8.06
2.56,-0.02,8.74
2.10,-0.46,8.99
1.06,-0.85,9.96
0.67,-0.54,8.40
0.50,-0.30,8.31
1.35,-0.70,8.86
2.26,-0.23,9.41
2.68,-0.33,9.17
2.70,-0.40,9.02
2.86,0.02,9.40
2.95,-0.08,9.04
3.35,0.06,9.67
3.12,-0.01,8.69
3.40,-0.23,9.78
3.49,-0.44,9.02
4.01,-0.03,10.42
3.58,0.12,10.40
3.41,-0.06,9.92
3.08,-0.30,10.43
2.86,-0.38,9.39
2.44,-0.52,9.19
2.28,-0.29,8.85
2.93,0.23,9.90
2.60,0.05,8.68
2.23,0.55,9.50
2.49,0.00,8.70
2.94,0.57,8.37
3.43,0.57,9.87
3.65,0.40,9.76
2.79,-0.30,8.84
3.19,-0.42,9.56
3.28,-0.57,9.68
2.88,-0.92,8.72
2.97,-0.32,9.13
2.57,-0.22,7.46
2.55,-0.33,8.97
2.51,-0.22,8.36
2.86,0.42,9.25
2.81,-0.06,8.13
2.54,-0.35,8.78
2.40,-0.33,9.08
2.65,-0.31,8.82
2.35,-0.54,9.55
2.22,-0.67,9.26
2.04,-0.74,9.60
2.54,-0.90,10.08
2.87,-0.90,10.57
2.70,-0.50,10.71
2.94,-0.04,10.98
2.89,-0.48,11.32
3.11,-0.28,10.40
2.57,-0.17,11.96
2.66,0.08,11.34
2.57,-0.67,8.99
2.35,0.01,9.96
2.06,-0.49,9.56
2.73,-0.21,9.80
1.77,-0.26,8.43
1.89,-0.41,7.63
1.99,0.16,7.64
1.47,-0.44,7.46
1.48,-0.53,8.68
1.62,-0.14,9.31
1.33,-0.28,8.72
1.37,-0.78,8.80
1.37,-0.64,9.50
1.13,-0.35,9.51
1.55,-0.70,9.07
1.70,-0.49,9.21
1.68,-0.58,9.20
1.27,-0.59,9.09
0.85,-0.51,8.34
1.01,-0.34,9.95
1.05,-0.96,9.01
1.27,-0.32,10.51
1.42,-0.52,10.19
1.98,-0.59,10.32
0.90,-0.33,10.18
1.72,-0.52,10.91
1.70,-0.58,10.65
1.50,-0.59,11.25
1.85,-0.37,10.24
1.41,-0.50,9.67
1.47,-0.62,10.19
1.47,-0.64,10.04
1.60,-0.73,10.06
1.96,-0.09,10.54
1.52,-0.50,8.71
1.54,-0.01,10.25
1.79,-0.55,9.13
1.44,-0.51,9.59
1.54,-0.48,9.39
1.42,-0.45,8.86
1.57,-0.44,8.41
1.48,-0.50,9.23
1.45,-0.57,8.73
1.42,-0.79,8.65
1.66,-0.47,10.01
1.48,-0.69,9.12
1.44,-0.13,9.87
1.68,-0.79,9.69
1.57,-0.35,9.57
1.29,-0.61,9.52
1.46,-0.59,9.10
1.40,-0.10,9.30
0.68,-0.59,9.52
0.86,-0.91,9.34
0.38,-0.40,9.69
0.32,-0.70,9.58
0.53,-0.65,9.47
0.59,-0.90,9.16
0.33,-0.82,9.40
-0.08,-0.99,9.67
-0.14,-0.59,10.07
0.56,-0.54,8.65
0.77,-0.36,9.57
0.58,-0.48,9.20
0.74,-0.12,9.65
0.84,-0.71,9.07
1.23,-0.25,9.58
1.32,-0.69,9.66
1.30,-0.67,10.26
0.53,-0.70,10.49
1.40,-0.24,10.47
1.23,-0.39,9.80
0.65,-0.22,10.44
0.53,-0.46,9.72
0.54,-0.58,10.56
1.09,-0.23,10.35
0.96,-0.22,10.18
0.67,-0.27,10.17
0.79,-0.20,10.32
0.90,-0.10,9.22
0.51,-0.37,9.05
0.76,0.08,10.09
0.81,-0.37,8.83
0.81,-0.09,9.77
0.70,-0.93,10.40
0.67,-0.36,9.95
-0.14,-0.57,10.13
0.29,-0.16,10.52
0.49,-0.26,11.06
0.57,-0.28,10.29
0.48,-0.22,10.82
0.21,-0.57,10.18
-0.22,-0.74,10.12
-1.05,-0.79,10.72
-1.54,-0.63,10.23
-1.45,-0.37,10.18
-1.28,-0.44,10.31
-1.42,-0.98,10.36
-1.74,-0.60,10.74
-2.92,-1.00,9.92
-3.12,-1.22,10.78
-3.29,-1.16,9.64
-3.69,-1.73,9.83
-2.48,-1.08,10.26
-1.35,-1.11,10.21
-1.55,-1.03,9.97
-1.96,-0.99,10.12
-1.28,-0.72,10.55
-1.39,-1.17,10.54
-0.81,-0.92,10.95
-0.74,-1.27,10.24
-0.28,-1.58,10.03
-0.11,-1.56,10.31
-0.51,-1.12,9.69
-0.84,-0.58,10.49
-1.16,-1.15,10.00
-0.43,-0.90,10.00
-0.04,-0.96,9.27
-0.43,-0.92,10.42
-0.36,-0.93,9.60
-0.64,-1.09,9.24
-1.09,-1.39,8.83
-0.40,-0.91,9.97
-0.61,-0.85,8.08
-0.44,-1.25,9.08
-0.21,-0.77,9.16
-0.34,-1.02,9.72
-0.42,-1.10,9.98
-0.51,-1.14,10.04
-0.25,-1.35,10.04
-0.66,-1.20,9.76
-1.43,-1.27,8.50
-1.56,-1.13,7.71
-1.45,-0.28,7.05
-0.85,0.00,8.74
-1.15,-1.04,9.13
-1.35,-1.25,10.52
-0.50,-1.49,12.48
0.98,-0.19,12.40
1.01,-0.03,10.58
-0.50,0.10,10.24
-1.23,-1.62,12.44
-0.04,0.07,10.12
-0.39,-1.05,9.87
0.05,-0.22,10.50
0.96,0.18,10.98
0.68,-0.49,10.52
1.70,0.03,10.60
1.57,-0.38,9.95
1.71,-0.45,9.31
1.43,-0.39,8.89
1.41,-0.63,8.94
1.31,-0.26,8.31
0.69,-0.65,9.05
0.39,-0.66,8.64
1.31,-0.46,9.79
1.34,-0.83,9.52
0.53,-1.06,8.94
1.00,-0.79,8.59
0.86,-0.93,8.80
1.35,-0.61,9.37
1.47,-0.50,9.03
1.18,-0.56,9.39
1.09,-0.66,9.57
1.50,-0.43,9.80
1.56,-0.34,9.79
0.63,-0.23,8.94
0.61,-0.64,10.31
1.00,-0.15,9.10
0.67,-0.43,8.24
0.46,-0.43,8.38
0.52,-0.55,9.04
0.56,-0.90,9.02
0.62,-0.56,9.97
1.10,-0.14,10.11
0.45,-0.94,9.89
0.70,-0.35,10.83
1.01,-0.08,11.69
1.58,-0.71,9.48
0.55,-0.63,11.40
0.68,-0.55,9.99
0.41,-1.22,10.45
0.20,-0.65,9.56
-0.32,-0.72,9.49
-0.22,-0.37,9.61
0.09,-0.68,10.33
0.37,-0.68,10.48
0.48,-1.25,10.59
0.38,-1.02,10.48
0.44,-0.87,10.64
0.64,-1.25,9.32
0.53,-1.17,10.27
0.65,-1.49,9.07
0.52,-1.17,8.99
0.71,-1.32,9.49
0.61,-1.51,9.49
0.25,-1.66,9.41
0.43,-1.56,9.88
0.41,-1.45,9.86
0.45,-1.49,9.89
0.11,-1.63,9.96
0.69,-1.03,9.85
0.60,-0.93,9.13
0.55,-0.85,9.81
0.32,-1.24,9.25
0.16,-0.95,9.82
0.01,-1.17,9.50
-0.40,-1.52,10.31
0.06,-2.01,9.51
-0.36,-1.74,11.34
-0.81,-1.64,10.26
-1.04,-1.45,11.33
-0.85,-1.99,10.31
-0.84,-1.82,10.22
-0.90,-1.82,9.73
-1.73,-2.12,10.17
-2.32,-2.37,9.96
-1.70,-2.01,10.43
-1.27,-2.10,9.56
-1.22,-2.08,9.70
-1.95,-2.38,10.24
-2.42,-2.58,9.90
-1.81,-2.23,10.18
-1.14,-2.25,10.43
-1.91,-2.20,10.43
-1.40,-2.07,10.63
-1.60,-2.28,9.99
-1.57,-2.19,9.95
-1.30,-2.42,10.22
-1.85,-2.26,10.75
-1.36,-2.32,10.63
-1.55,-2.16,10.58
-1.35,-2.40,11.03
-1.00,-2.71,10.30
-1.33,-2.47,10.28
-1.38,-2.39,9.55
-1.51,-3.11,10.19
-1.46,-2.85,9.22
-1.07,-2.62,10.50
-1.33,-2.78,9.58
-1.04,-2.58,10.12
-1.09,-2.75,10.39
-1.37,-3.56,10.14
-0.96,-1.88,9.80
-1.02,-3.34,9.54
-1.10,-3.00,8.72
-0.93,-2.84,8.97
-0.80,-3.11,9.36
-0.79,-2.95,9.26
-0.48,-2.71,9.93
-0.84,-2.78,10.19
0.23,-3.08,10.54
-0.35,-3.21,9.50
-0.51,-2.89,9.61
-0.63,-3.56,9.16
-0.88,-3.20,9.32
-0.90,-3.02,10.07
-0.44,-3.29,9.82
-1.01,-2.94,10.00
-0.61,-2.71,10.67
-0.66,-3.16,10.32
-0.38,-3.35,10.42
-1.19,-3.27,10.21
-1.06,-3.48,9.62
-0.69,-3.18,8.83
-0.44,-3.37,9.26
-0.67,-3.37,9.19
-0.92,-3.59,9.70
-0.34,-3.76,10.20
-0.74,-4.14,10.23
-0.98,-4.11,10.28
-0.45,-3.62,10.20
-1.30,-3.82,10.18
-1.01,-3.79,9.75
-1.19,-3.71,10.48
-1.23,-4.11,10.13
-1.22,-3.66,10.70
-1.20,-3.84,10.55
-1.24,-3.71,10.85
-0.94,-3.41,11.10
-0.52,-3.03,11.17
-0.36,-3.13,10.64
-0.58,-2.63,10.05
-0.64,-2.78,9.54
-0.94,-3.30,9.11
-0.76,-3.16,8.45
-0.31,-2.96,8.76
0.12,-3.12,8.73
-0.26,-3.20,8.35
-0.18,-3.18,8.49
0.88,-3.46,9.76
0.93,-3.71,9.48
0.63,-4.23,9.52
0.77,-4.46,9.89
1.20,-4.58,9.92
1.12,-4.57,9.79
0.79,-3.68,10.40
0.91,-3.79,10.40
1.03,-3.72,10.86
0.48,-3.64,10.35
0.28,-3.63,11.09
0.48,-3.94,10.55
0.32,-3.62,10.27
0.56,-3.73,9.32
0.39,-3.63,9.92
0.67,-3.54,9.95
0.81,-3.34,9.62
0.60,-3.44,9.69
0.47,-3.29,10.17
0.16,-3.34,9.63
0.44,-3.46,8.62
0.16,-3.49,9.43
0.21,-3.45,9.21
0.19,-4.07,8.88
0.02,-4.24,8.62
-0.09,-4.12,8.59
0.30,-4.04,8.50
0.12,-4.16,9.60
0.37,-4.33,9.16
0.04,-4.26,9.04
0.21,-4.17,9.56
0.14,-4.01,10.29
0.50,-3.71,10.37
0.43,-4.13,9.66
0.44,-3.76,10.12
0.39,-3.79,9.20
0.06,-3.84,10.37
-0.06,-3.94,9.89
0.73,-3.61,9.17
0.24,-3.78,9.33
0.80,-3.87,9.77
0.93,-3.69,9.81
0.98,-3.76,9.11
1.39,-3.64,9.16
1.52,-3.75,9.66
1.29,-3.51,9.34
1.09,-3.62,9.46
1.33,-3.40,9.46
1.34,-3.26,9.20
1.39,-3.50,9.40
1.30,-3.76,9.11
1.46,-3.35,9.19
1.53,-3.50,9.30
1.57,-3.73,8.76
1.63,-3.76,9.03
1.33,-3.72,8.87
1.55,-3.72,9.54
2.08,-4.10,9.85
2.16,-4.02,9.81
2.47,-4.40,9.63
2.62,-4.96,9.75
2.14,-4.02,9.92
2.33,-4.07,9.95
2.11,-3.99,9.61
1.90,-3.70,10.04
1.74,-3.91,9.89
1.32,-3.78,10.09
1.34,-3.51,10.07
1.51,-3.72,9.72
1.43,-3.97,9.80
1.39,-3.88,9.48
1.50,-3.79,9.05
1.65,-4.11,9.42
1.66,-3.85,8.90
1.72,-3.80,9.30
2.00,-4.04,9.14
2.02,-4.05,8.92
1.81,-3.91,8.88
1.69,-4.10,9.20
1.57,-4.04,8.63
1.23,-4.27,9.25
1.79,-4.23,9.01
1.60,-4.37,9.19
1.48,-4.64,9.17
1.57,-4.28,9.12
1.68,-4.35,9.05
1.72,-4.46,9.06
1.76,-4.48,9.08
1.90,-4.62,8.85
2.00,-4.90,9.49
1.98,-4.95,8.97
1.85,-5.00,9.01
1.88,-4.79,9.06
1.98,-4.75,9.23
1.99,-4.62,9.24
2.03,-4.73,9.40
2.17,-4.83,9.57
1.99,-4.88,9.54
1.87,-4.90,9.62
2.11,-4.76,9.41
2.06,-4.82,9.73
2.36,-4.68,9.55
1.73,-4.97,9.50
2.21,-4.70,9.65
2.15,-4.80,9.39
1.77,-4.85,9.35
1.92,-4.75,9.11
1.99,-4.71,9.23
2.20,-4.74,9.25
1.91,-4.88,9.19
2.00,-4.96,9.09
2.07,-4.88,9.15
1.92,-4.88,8.88
2.12,-5.08,9.32
2.24,-5.00,9.18
2.45,-5.25,9.17
2.50,-5.37,9.23
2.39,-6.06,9.22
2.39,-5.99,9.00
2.59,-5.46,9.12
2.40,-5.39,9.16
2.48,-5.20,8.58
2.45,-5.27,8.74
2.36,-5.36,8.45
2.49,-5.42,8.40
2.67,-5.38,8.55
2.83,-5.63,9.01
2.80,-5.81,8.96
2.93,-6.00,9.80
2.88,-5.80,9.33
3.13,-5.88,9.36
3.24,-6.14,9.70
3.40,-6.34,9.14
3.50,-6.20,9.43
3.17,-6.32,9.07
3.29,-5.61,9.42
3.29,-5.15,9.02
3.16,-4.82,9.48
3.10,-4.80,9.09
3.12,-4.37,9.14
3.13,-4.28,9.88
3.46,-3.97,10.47
3.38,-4.06,10.40
3.11,-4.10,9.80
3.61,-4.45,9.85
3.30,-4.11,9.87
3.30,-4.06,9.76
3.57,-4.78,9.71
3.27,-4.72,8.82
3.60,-4.59,9.23
3.52,-4.44,9.09
3.65,-4.42,9.33
3.68,-4.50,8.77
4.00,-4.67,9.29
4.12,-4.95,9.73
3.91,-4.56,9.62
3.93,-4.19,9.66
3.67,-4.59,9.14
3.43,-4.21,8.08
3.23,-4.09,8.42
3.28,-3.59,8.12
3.30,-3.83,8.21
3.42,-3.53,9.52
3.81,-3.39,8.77
3.61,-3.86,9.33
3.66,-4.00,8.93
3.65,-4.02,9.16
3.60,-3.73,8.77
4.04,-3.64,9.26
3.99,-3.50,8.68
3.48,-3.26,8.41
3.90,-3.04,8.60
3.69,-3.05,8.71
3.71,-2.95,8.56
3.66,-2.73,8.18
3.68,-2.76,8.33
3.77,-2.66,8.25
3.80,-2.51,8.57
3.86,-2.48,8.57
3.66,-2.40,8.86
3.72,-2.51,8.53
3.79,-2.49,8.63
3.75,-2.27,9.03
3.84,-2.35,8.65
3.91,-2.34,9.53
4.22,-2.20,8.74
4.21,-1.82,9.10
4.29,-2.14,8.73
3.64,-1.83,9.04
4.03,-1.21,8.67
4.05,-1.31,8.93
3.87,-1.26,9.00
3.98,-1.09,9.41
3.81,-0.80,9.20
3.74,-0.72,9.40
3.68,-0.95,9.00
3.47,-0.62,8.54
3.27,-0.18,8.96
3.63,-0.25,9.19
3.91,-0.48,9.16
4.14,-0.20,8.94
4.04,-0.53,9.50
3.94,-0.74,9.01
3.72,-0.88,9.61
3.94,-0.92,9.10
3.78,-0.77,9.59
3.77,-0.67,9.89
3.76,-0.56,10.02
4.11,-0.55,9.13
4.03,-0.55,9.70
3.87,-0.78,10.18
4.13,-0.30,9.76
3.75,-0.89,9.50
3.67,-0.44,9.88
4.05,-0.30,8.65
3.76,-0.75,9.45
4.21,-0.49,9.12
3.74,-0.55,8.39
3.93,-0.80,8.66
3.75,-0.81,8.83
4.00,-0.22,8.77
3.69,-0.63,8.48
4.06,-0.47,9.17
4.00,-0.40,8.60
3.85,-0.70,8.85
3.83,-0.78,8.65
3.58,0.23,8.55
3.97,-0.63,9.17
4.51,0.19,8.18
4.01,-0.16,9.10
3.86,-0.32,8.83
4.22,0.25,9.48
4.12,0.27,10.29
4.25,0.24,9.51
4.21,0.19,9.88
4.07,0.00,9.40
3.92,-0.04,10.01
3.64,-0.19,8.94
3.69,0.67,9.39
3.35,0.45,8.86
2.96,0.98,8.40
2.96,1.16,8.97
2.89,0.22,8.81
2.92,-0.20,9.64
3.12,-0.28,9.03
3.75,0.05,9.60
3.19,0.14,9.04
3.00,-0.16,8.25
2.91,0.06,10.63
3.53,-0.15,8.81
3.46,-0.19,9.58
3.09,-0.32,9.05
3.29,0.13,9.52
2.83,-0.44,7.97
2.95,0.03,9.38
2.96,-0.61,7.69
2.43,0.38,8.14
2.67,-0.36,8.20
2.77,0.00,8.62
2.66,-0.29,8.69
3.11,0.10,7.50
3.44,0.00,8.55
3.21,-0.28,7.58
3.05,-0.54,9.27
2.99,-0.60,8.12
3.36,0.03,9.23
2.83,-0.57,7.82
3.28,-0.46,9.18
3.23,0.26,8.40
3.27,-0.39,9.50
3.37,-0.36,7.99
3.65,-0.11,9.86
3.51,0.11,11.06
3.87,-0.03,11.12
3.37,-0.43,11.27
3.05,-0.14,9.24
3.62,0.00,10.74
3.76,0.45,10.20
3.90,0.22,10.05
4.16,0.02,11.08
3.34,0.38,9.31
3.86,0.50,8.65
3.87,-0.56,8.20
3.28,-0.23,8.61
3.17,0.58,9.74
2.54,-0.20,8.62
3.05,0.20,7.68
3.06,0.76,8.16
2.77,0.29,8.27
